,year,CIK,AssetsCurrent,LiabilitiesCurrent,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,OperatingIncomeLoss,NetIncomeLoss,ticker
1205,2012,0001164256,626778,3848154,-37700,-231388,285100,16012,-795870,-1596208,DBRM
1217,2012,0000010254,10006000,3434000,5278000,-2467000,-84000,2727000,3862000,3279000,ESTE
1218,2012,0000010254,10006000,3434000,5278000,-2467000,-84000,2727000,3862000,3279000,ESTE
1219,2012,0000010254,10006000,3434000,5278000,-2467000,-84000,2727000,3862000,3279000,ESTE
1220,2012,0000010254,10006000,3434000,5278000,-2467000,-84000,2727000,3862000,3279000,ESTE
1221,2012,0000010254,10006000,3434000,5278000,-2467000,-84000,2727000,3862000,3279000,ESTE
1222,2012,0000010254,10006000,3434000,5278000,-2467000,-84000,2727000,3862000,3279000,ESTE
1223,2012,0000010254,10006000,3434000,5278000,-2467000,-84000,2727000,3862000,3279000,ESTE
1224,2012,0000010254,10006000,3434000,5278000,-2467000,-84000,2727000,3862000,3279000,ESTE
1226,2012,0000927355,165763400,99983600,21745500,-6513700,-5198400,10033400,27003800,16436900,TESS
1227,2012,0000067347,427531000,297551000,45758000,-65010000,18754000,-1485000,67524000,38461000,MOD
1228,2012,0000067347,427531000,297551000,45758000,-65010000,18754000,-1485000,67524000,38461000,MOD
1229,2012,0000067347,427531000,297551000,45758000,-65010000,18754000,-1485000,67524000,38461000,MOD
1230,2012,0000067347,427531000,297551000,45758000,-65010000,18754000,-1485000,67524000,38461000,MOD
1231,2012,0000067347,427531000,297551000,45758000,-65010000,18754000,-1485000,67524000,38461000,MOD
1232,2012,0000067347,427531000,297551000,45758000,-65010000,18754000,-1485000,67524000,38461000,MOD
1233,2012,0000067347,427531000,297551000,45758000,-65010000,18754000,-1485000,67524000,38461000,MOD
1234,2012,0000067347,427531000,297551000,45758000,-65010000,18754000,-1485000,67524000,38461000,MOD
1243,2012,0000931059,8294000,582000,-3108000,3328000,0,245000,-2515000,-1429000,RNVA
1244,2012,0000931059,8294000,582000,-3108000,3328000,0,245000,-2515000,-1429000,RNVA
1245,2012,0000931059,8294000,582000,-3108000,3328000,0,245000,-2515000,-1429000,RNVA
1246,2012,0000931059,8294000,582000,-3108000,3328000,0,245000,-2515000,-1429000,RNVA
1247,2012,0000931059,8294000,582000,-3108000,3328000,0,245000,-2515000,-1429000,RNVA
1248,2012,0000931059,8294000,582000,-3108000,3328000,0,245000,-2515000,-1429000,RNVA
1249,2012,0000931059,8294000,582000,-3108000,3328000,0,245000,-2515000,-1429000,RNVA
1250,2012,0000931059,8294000,582000,-3108000,3328000,0,245000,-2515000,-1429000,RNVA
1283,2012,0000709283,281221000,210053000,45660000,-21974000,-48353000,-24749000,5192000,-8809000,QMCO
1284,2012,0000709283,281221000,210053000,45660000,-21974000,-48353000,-24749000,5192000,-8809000,QMCO
1285,2012,0000709283,281221000,210053000,45660000,-21974000,-48353000,-24749000,5192000,-8809000,QMCO
1286,2012,0000709283,281221000,210053000,45660000,-21974000,-48353000,-24749000,5192000,-8809000,QMCO
1287,2012,0000709283,281221000,210053000,45660000,-21974000,-48353000,-24749000,5192000,-8809000,QMCO
1288,2012,0000709283,281221000,210053000,45660000,-21974000,-48353000,-24749000,5192000,-8809000,QMCO
1289,2012,0000709283,281221000,210053000,45660000,-21974000,-48353000,-24749000,5192000,-8809000,QMCO
1290,2012,0000709283,281221000,210053000,45660000,-21974000,-48353000,-24749000,5192000,-8809000,QMCO
1293,2012,0001372183,61056,14607206,-4822423,-305000,4720595,-406828,-13957397,-13651066,NXTP
1294,2012,0000915779,229006000,109173000,20038000,-18753000,-26284000,-24885000,10275000,8489000,DAKT
1308,2012,0001173204,63393000,60436000,39938000,-17315000,-15528000,7095000,15194000,-23040000,CIDM
1311,2012,0000102109,11786272,1293765,-3823293,556870,-275896,-3542319,-1449572,-503288,UUU
1312,2012,0000102109,11786272,1293765,-3823293,556870,-275896,-3542319,-1449572,-503288,UUU
1313,2012,0000102109,11786272,1293765,-3823293,556870,-275896,-3542319,-1449572,-503288,UUU
1314,2012,0000102109,11786272,1293765,-3823293,556870,-275896,-3542319,-1449572,-503288,UUU
1315,2012,0000102109,11786272,1293765,-3823293,556870,-275896,-3542319,-1449572,-503288,UUU
1316,2012,0000102109,11786272,1293765,-3823293,556870,-275896,-3542319,-1449572,-503288,UUU
1317,2012,0000102109,11786272,1293765,-3823293,556870,-275896,-3542319,-1449572,-503288,UUU
1318,2012,0000102109,11786272,1293765,-3823293,556870,-275896,-3542319,-1449572,-503288,UUU
1327,2012,0001289636,8143468,1494182,1604135,-1487628,0,225491,4367617,3187771,PFIE
1328,2012,0000065270,240433000,91877000,24825000,-32097000,37899000,29352000,11357000,8383000,MEI
1332,2012,0000924805,41210068,20046765,15278079,136255136,-109269699,42263516,-23963932,-139216221,FRHC
1336,2012,0001053369,1497840,4549109,-394082,-657790,-105580,-1157451,-1966138,-15058274,ELTP
1339,2012,0000794619,131102000,59221000,16053000,-9918000,5065000,11200000,-33446000,-20786000,AMWD
1340,2012,0000923601,5277443,6291220,-237484,-165216,-4547,-407247,470912,463116,MICS
1349,2011,0001013880,478282000,170011000,113799000,-86931000,15891000,36986000,93454000,74174000,TTEC
1360,2012,0001285785,6581100000,1917700000,2705800000,-1627400000,-1061100000,-95400000,2611100000,1930200000,MOS
1361,2012,0001285785,6581100000,1917700000,2705800000,-1627400000,-1061100000,-95400000,2611100000,1930200000,MOS
1362,2012,0001285785,6581100000,1917700000,2705800000,-1627400000,-1061100000,-95400000,2611100000,1930200000,MOS
1363,2012,0001285785,6581100000,1917700000,2705800000,-1627400000,-1061100000,-95400000,2611100000,1930200000,MOS
1364,2012,0001285785,6581100000,1917700000,2705800000,-1627400000,-1061100000,-95400000,2611100000,1930200000,MOS
1365,2012,0001285785,6581100000,1917700000,2705800000,-1627400000,-1061100000,-95400000,2611100000,1930200000,MOS
1366,2012,0001285785,6581100000,1917700000,2705800000,-1627400000,-1061100000,-95400000,2611100000,1930200000,MOS
1367,2012,0001285785,6581100000,1917700000,2705800000,-1627400000,-1061100000,-95400000,2611100000,1930200000,MOS
1377,2012,0000034956,2631032,3126870,-8278366,-261146,9467440,927928,8220197,15712410,TENX
1378,2012,0001084765,228235000,61651000,36370000,-20528000,-49109000,-34500000,73092000,41142000,RGP
1381,2012,0001165320,7249,1269516,-96518,0,51000,-45518,-102841,-14763,GBLX
1409,2012,0001123360,1248739000,837285000,-173475000,-150433000,-218186000,-573010000,9811000,5086000,GPN
1410,2012,0001123360,1248739000,837285000,-173475000,-150433000,-218186000,-573010000,9811000,5086000,GPN
1411,2012,0001123360,1248739000,837285000,-173475000,-150433000,-218186000,-573010000,9811000,5086000,GPN
