,year,CIK,AssetsCurrent,LiabilitiesCurrent,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,OperatingIncomeLoss,NetIncomeLoss,ticker
145,2011,0000842023,230417000,18188000,127194000,-114185000,-36288000,-16526000,163055000,112302000,TECH
234,2011,0000912603,653999000,233313000,140463000,-399901000,279951000,19120000,56255000,36708000,SCHN
236,2011,0001041803,292777000,218227000,75599000,-39445000,-30640000,3471000,90880000,61750000,PSMT
237,2011,0001041803,292777000,218227000,75599000,-39445000,-30640000,3471000,90880000,61750000,PSMT
238,2011,0001041803,292777000,218227000,75599000,-39445000,-30640000,3471000,90880000,61750000,PSMT
239,2011,0001041803,292777000,218227000,75599000,-39445000,-30640000,3471000,90880000,61750000,PSMT
240,2011,0001041803,292777000,218227000,75599000,-39445000,-30640000,3471000,90880000,61750000,PSMT
241,2011,0001041803,292777000,218227000,75599000,-39445000,-30640000,3471000,90880000,61750000,PSMT
242,2011,0001041803,292777000,218227000,75599000,-39445000,-30640000,3471000,90880000,61750000,PSMT
243,2011,0001041803,292777000,218227000,75599000,-39445000,-30640000,3471000,90880000,61750000,PSMT
252,2011,0000720500,174851000,80794000,15426000,-6238000,2058000,10618000,38279000,22882000,ASYS
253,2011,0000720500,174851000,80794000,15426000,-6238000,2058000,10618000,38279000,22882000,ASYS
254,2011,0000720500,174851000,80794000,15426000,-6238000,2058000,10618000,38279000,22882000,ASYS
255,2011,0000720500,174851000,80794000,15426000,-6238000,2058000,10618000,38279000,22882000,ASYS
256,2011,0000720500,174851000,80794000,15426000,-6238000,2058000,10618000,38279000,22882000,ASYS
257,2011,0000720500,174851000,80794000,15426000,-6238000,2058000,10618000,38279000,22882000,ASYS
258,2011,0000720500,174851000,80794000,15426000,-6238000,2058000,10618000,38279000,22882000,ASYS
259,2011,0000720500,174851000,80794000,15426000,-6238000,2058000,10618000,38279000,22882000,ASYS
268,2011,0000038777,7616768000,1312064000,1621778000,435913000,-968185000,1074897000,2659827000,1923580000,BEN
270,2011,0001005210,297822000,151514000,132786000,-19505000,-120636000,-7355000,143228000,114966000,SPH
273,2011,0000063296,369846000,161741000,95564000,-106812000,10403000,556000,118516000,72372000,MATW
276,2011,0000897723,2629246000,1265885000,234908000,-98105000,-88954000,47476000,211997000,68917000,SANM
290,2011,0000090168,39658000,14434000,10220000,-22713000,283000,-12210000,10855000,7449000,SIF
291,2011,0000090168,39658000,14434000,10220000,-22713000,283000,-12210000,10855000,7449000,SIF
292,2011,0000090168,39658000,14434000,10220000,-22713000,283000,-12210000,10855000,7449000,SIF
293,2011,0000090168,39658000,14434000,10220000,-22713000,283000,-12210000,10855000,7449000,SIF
294,2011,0000090168,39658000,14434000,10220000,-22713000,283000,-12210000,10855000,7449000,SIF
295,2011,0000090168,39658000,14434000,10220000,-22713000,283000,-12210000,10855000,7449000,SIF
296,2011,0000090168,39658000,14434000,10220000,-22713000,283000,-12210000,10855000,7449000,SIF
297,2011,0000090168,39658000,14434000,10220000,-22713000,283000,-12210000,10855000,7449000,SIF
298,2011,0001074828,1662909,4865384,-1312291,-107633,1428300,8376,-2259491,-2409756,KNWN
300,2011,0001124941,678865000,268034000,79290000,-47832000,-5045000,25891000,103742000,59220000,BECN
301,2011,0000844059,34694000,18232000,20601000,-11603000,-5123000,3875000,14369000,12211000,FRPH
302,2011,0000844059,34694000,18232000,20601000,-11603000,-5123000,3875000,14369000,12211000,FRPH
303,2011,0000844059,34694000,18232000,20601000,-11603000,-5123000,3875000,14369000,12211000,FRPH
304,2011,0000844059,34694000,18232000,20601000,-11603000,-5123000,3875000,14369000,12211000,FRPH
305,2011,0000844059,34694000,18232000,20601000,-11603000,-5123000,3875000,14369000,12211000,FRPH
306,2011,0000844059,34694000,18232000,20601000,-11603000,-5123000,3875000,14369000,12211000,FRPH
307,2011,0000844059,34694000,18232000,20601000,-11603000,-5123000,3875000,14369000,12211000,FRPH
308,2011,0000844059,34694000,18232000,20601000,-11603000,-5123000,3875000,14369000,12211000,FRPH
319,2011,0000047217,51021000000,50442000000,12639000000,-13959000000,-1566000000,-2886000000,9677000000,7074000000,HPQ
321,2011,0001117171,197228929,302600446,35318299,-31045559,-2800346,2269604,-14172489,-24537364,CBAT
336,2011,0000936395,1332838000,453493000,-90485000,-68570000,13202000,-146791000,-163193000,-195521000,CIEN
337,2011,0000936395,1332838000,453493000,-90485000,-68570000,13202000,-146791000,-163193000,-195521000,CIEN
338,2011,0000936395,1332838000,453493000,-90485000,-68570000,13202000,-146791000,-163193000,-195521000,CIEN
339,2011,0000936395,1332838000,453493000,-90485000,-68570000,13202000,-146791000,-163193000,-195521000,CIEN
340,2011,0000936395,1332838000,453493000,-90485000,-68570000,13202000,-146791000,-163193000,-195521000,CIEN
341,2011,0000936395,1332838000,453493000,-90485000,-68570000,13202000,-146791000,-163193000,-195521000,CIEN
342,2011,0000936395,1332838000,453493000,-90485000,-68570000,13202000,-146791000,-163193000,-195521000,CIEN
343,2011,0000936395,1332838000,453493000,-90485000,-68570000,13202000,-146791000,-163193000,-195521000,CIEN
371,2011,0000716688,2297142,639032,466023,-281302,-392555,-207834,207069,242915,MFCO
376,2011,0001069533,31004245,31027444,10683344,-7589102,-1888443,1205799,9313046,4653473,RGCO
377,2011,0001048268,161124000,98287000,-11852000,15343000,-838000,2653000,-35348000,-37693000,IESC
378,2011,0001492617,4,16760,-16413,0,14481,-1932,-27256,-27256,PGLO
380,2011,0000788329,176445000,65000000,30980000,-13323000,-8648000,11198000,17670000,32644000,JOUT
389,2011,0000808326,91351000,67058000,-6289000,-15286000,17887000,-4346000,-32527000,-34219000,EMKR
390,2011,0000808326,91351000,67058000,-6289000,-15286000,17887000,-4346000,-32527000,-34219000,EMKR
391,2011,0000808326,91351000,67058000,-6289000,-15286000,17887000,-4346000,-32527000,-34219000,EMKR
392,2011,0000808326,91351000,67058000,-6289000,-15286000,17887000,-4346000,-32527000,-34219000,EMKR
393,2011,0000808326,91351000,67058000,-6289000,-15286000,17887000,-4346000,-32527000,-34219000,EMKR
394,2011,0000808326,91351000,67058000,-6289000,-15286000,17887000,-4346000,-32527000,-34219000,EMKR
395,2011,0000808326,91351000,67058000,-6289000,-15286000,17887000,-4346000,-32527000,-34219000,EMKR
396,2011,0000808326,91351000,67058000,-6289000,-15286000,17887000,-4346000,-32527000,-34219000,EMKR
397,2011,0000030831,15644122,6207295,3766380,-1780194,-1745126,367874,2243835,1348734,DYSL
398,2011,0000030831,15644122,6207295,3766380,-1780194,-1745126,367874,2243835,1348734,DYSL
399,2011,0000030831,15644122,6207295,3766380,-1780194,-1745126,367874,2243835,1348734,DYSL
400,2011,0000030831,15644122,6207295,3766380,-1780194,-1745126,367874,2243835,1348734,DYSL
401,2011,0000030831,15644122,6207295,3766380,-1780194,-1745126,367874,2243835,1348734,DYSL
402,2011,0000030831,15644122,6207295,3766380,-1780194,-1745126,367874,2243835,1348734,DYSL
403,2011,0000030831,15644122,6207295,3766380,-1780194,-1745126,367874,2243835,1348734,DYSL
404,2011,0000030831,15644122,6207295,3766380,-1780194,-1745126,367874,2243835,1348734,DYSL
429,2011,0001502152,21942,31625,-52480,0.0,65500,13020,-54105,-54105,GSTC
430,2011,0001502152,21942,31625,-52480,0.0,65500,13020,-54105,-54105,GSTC
431,2011,0001502152,21942,31625,-52480,0.0,65500,13020,-54105,-54105,GSTC
432,2011,0001502152,21942,31625,-52480,0.0,65500,13020,-54105,-54105,GSTC
433,2011,0001502152,21942,31625,-52480,0.0,65500,13020,-54105,-54105,GSTC
434,2011,0001502152,21942,31625,-52480,0.0,65500,13020,-54105,-54105,GSTC
435,2011,0001502152,21942,31625,-52480,0.0,65500,13020,-54105,-54105,GSTC
436,2011,0001502152,21942,31625,-52480,0.0,65500,13020,-54105,-54105,GSTC
469,2011,0000040570,7108000,6121000,-2290000,-284000,1943000,-631000,556000,358000,JOB
470,2011,0000040570,7108000,6121000,-2290000,-284000,1943000,-631000,556000,358000,JOB
471,2011,0000040570,7108000,6121000,-2290000,-284000,1943000,-631000,556000,358000,JOB
472,2011,0000040570,7108000,6121000,-2290000,-284000,1943000,-631000,556000,358000,JOB
473,2011,0000040570,7108000,6121000,-2290000,-284000,1943000,-631000,556000,358000,JOB
474,2011,0000040570,7108000,6121000,-2290000,-284000,1943000,-631000,556000,358000,JOB
475,2011,0000040570,7108000,6121000,-2290000,-284000,1943000,-631000,556000,358000,JOB
476,2011,0000040570,7108000,6121000,-2290000,-284000,1943000,-631000,556000,358000,JOB
477,2011,0000012040,8293000,6473000,4352000,-4172000,-2363000,-2183000,3127000,1449000,BDL
478,2011,0001397016,8011000,1795000,1114000,-31000,-599000,484000,78000,591000,OPXS
483,2011,0001497649,714818,255087,477266,-3398308,3217349,296307,330404,-1109397,GSTX
505,2011,0001174891,12998,71513,-52996,1,35000,-18550,-57658,68857,BUUZ
506,2011,0001174891,12998,71513,-52996,1,35000,-18550,-57658,68857,BUUZ
507,2011,0001174891,12998,71513,-52996,1,35000,-18550,-57658,68857,BUUZ
508,2011,0001174891,12998,71513,-52996,1,35000,-18550,-57658,68857,BUUZ
509,2011,0001174891,12998,71513,-52996,1,35000,-18550,-57658,68857,BUUZ
510,2011,0001174891,12998,71513,-52996,1,35000,-18550,-57658,68857,BUUZ
511,2011,0001174891,12998,71513,-52996,1,35000,-18550,-57658,68857,BUUZ
512,2011,0001174891,12998,71513,-52996,1,35000,-18550,-57658,68857,BUUZ
516,2011,0000810136,305207000,95901000,136553000,-100737000,54525000,90983000,75467000,16229000,PLAB
536,2011,0000797465,62522000,16456000,-7307000,-4407000,1882000,-9832000,-6779000,-5025000,STLY
537,2011,0001304161,9607782,2523637,2140273,-123111,-25162,1999557,3451998,3158981,PBSV
538,2011,0001304161,9607782,2523637,2140273,-123111,-25162,1999557,3451998,3158981,PBSV
539,2011,0001304161,9607782,2523637,2140273,-123111,-25162,1999557,3451998,3158981,PBSV
540,2011,0001304161,9607782,2523637,2140273,-123111,-25162,1999557,3451998,3158981,PBSV
541,2011,0001304161,9607782,2523637,2140273,-123111,-25162,1999557,3451998,3158981,PBSV
542,2011,0001304161,9607782,2523637,2140273,-123111,-25162,1999557,3451998,3158981,PBSV
543,2011,0001304161,9607782,2523637,2140273,-123111,-25162,1999557,3451998,3158981,PBSV
544,2011,0001304161,9607782,2523637,2140273,-123111,-25162,1999557,3451998,3158981,PBSV
546,2011,0001081745,68,81832,-83871,-22061,106000,68,-10149,-15812,INLX
549,2011,0001181749,27542361,13680184,11879586,-50020,-9429231,2400335,12165367,12291856,GFGY
552,2011,0001177394,2438415000,1372253000,219153000,-126388000,-114443000,-20467000,256228000,150331000,SNX
560,2011,0000094845,1743221000,872261000,1848000,-140957000,77707000,-65184000,336393000,137953000,LEVI
570,2011,0001393883,83603000,83972000,64494000,-10614000,-41595000,12207000,54947000,34100000,DHX
572,2011,0001272830,124770000,204955000,146786000,-37604000,-130138000,-20071000,116350000,409044000,VG
578,2011,0001048286,1324000000,2558000000,1089000000,-247000000,-1245000000,-403000000,526000000,198000000,MAR
579,2011,0000045012,11577000000,4121000000,3684000000,-3190000000,833000000,1300000000,4737000000,2839000000,HAL
580,2011,0001141391,7741000000,4217000000,2684000000,-748000000,-1215000000,667000000,-10000000,19000000,MA
603,2011,0000065759,19016,1673,1468,-1807,-258,-597,2416,1643,MPAD
607,2011,0001051470,599152000,402106000,643454000,-399865000,-275712000,-32411000,176846000,48911000,CCI
609,2011,0001306830,2703000000,1385000000,638000000,-441000000,-253000000,-58000000,690000000,607000000,CE
611,2011,0001047127,996830000,642186000,516832000,-430534000,-58877000,29633000,193670000,91808000,AMKR
614,2011,0000050863,25872000000,12028000000,20963000000,-10301000000,-11100000000,-433000000,17477000000,12942000000,INTC
616,2011,0000931148,731950000,277253000,76597000,-161966000,85461000,92000,166009000,153184000,EAF
618,2011,0000020520,1270030000,1183216000,1572681000,-762672000,-735178000,74831000,230457000,42247000,FYBR
621,2011,0000877890,1373030000,1179130000,679122000,-451181000,-292614000,-62866000,135814000,108699000,CTXS
628,2011,0000021344,25497000000,24283000000,9474000000,-2524000000,-2234000000,4286000000,10154000000,8572000000,KO
629,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
630,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
631,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
632,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
633,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
634,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
635,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
636,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
637,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
638,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
639,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
640,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
641,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
642,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
643,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
644,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
645,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
646,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
647,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
648,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
649,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
650,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
651,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
652,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
653,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
654,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
655,2011,0001408075,1314100000,645500000,387800000,-211800000,-42200000,133100000,63100000,265600000,GPK
656,2011,0001013462,740033000,438751000,307661000,-291643000,-9676000,-651000,265559000,180675000,ANSS
668,2011,0000768899,280615000,112289000,30589000,-26938000,-57215000,-53842000,47834000,30791000,TBI
669,2011,0001144980,792500000,636300000,-181100000,34300000,136900000,-9900000,133900000,67900000,ABG
677,2011,0001001601,4204000,786000,-7635000,1968000,639000,-4730000,-7862000,-4549000,MGTI
679,2011,0001010086,52978703,6922777,25574036,14758260,2592581,42924877,-31381437,13594176,SIGA
683,2011,0001023364,22324000,8291000,2204000,164000,22000,2390000,725000,416000,AUTO
686,2011,0001085869,74988000,23512000,14320000,-8785000,-8538000,-2975000,18532000,10747000,PRFT
687,2011,0000077877,173050000,195046000,166834000,-456401000,243433000,-46134000,39833000,13437000,PDCE
692,2011,0001046327,249563000,88776000,-708000,6624000,-133542000,-129685000,-37610000,-27100000,RNWK
694,2011,0001274494,2613261000,973724000,-33463000,-676457000,571218000,-160070000,-68664000,-39493000,FSLR
696,2011,0001082324,74470000,6356000,-18252000,28968000,4131000,14847000,-17376000,-17263000,VHC
697,2011,0001082324,74470000,6356000,-18252000,28968000,4131000,14847000,-6690000,-6215000,VHC
700,2011,0001082324,74470000,6356000,-18252000,28968000,4131000,14847000,-17376000,-17263000,VHC
701,2011,0001082324,74470000,6356000,-18252000,28968000,4131000,14847000,-6690000,-6215000,VHC
704,2011,0001124804,680649000,510757000,268754000,-95674000,-143639000,28350000,136544000,73609000,MDRX
705,2011,0000789933,1375100000,891200000,155200000,-32700000,-42000000,76700000,174100000,162100000,NC
714,2011,0001403431,44474000,28932000,4903000,45615000,21141000,-19571000,2496000,1474000,HCCI
726,2011,0001075736,21552000,13171000,-1648000,-2396000,-1505000,-5549000,-5891000,-6230000,CXDO
737,2011,0001092662,8991582,2857626,2268408,-726680,-667125,874603,1087887,6208791,CEMI
739,2011,0000102752,178447000,107324000,34260000,-182921000,143348000,-5313000,36680000,20552000,VSEC
740,2011,0001040161,26097000,12887000,-735000,11836000,-12881000,-1780000,-7805000,-6566000,PXLW
741,2011,0001062822,285790000,21390000,-87938000,69955000,157084000,139101000,-114095000,-116215000,LXRX
770,2011,0000906553,342894000,472020000,253510000,-362787000,142410000,33133000,233104000,-3854000,BYD
772,2011,0000002098,46522364,8704020,2063068,-4169552,3428433,1251927,4284964,2811193,ACU
774,2011,0000886744,125625000,13444000,-62392000,32139000,386000,-29867000,-96116000,-96853000,GERN
776,2011,0001069878,102054000,120628000,33847000,-9367000,-47224000,-22744000,2171000,-11588000,TREX
777,2011,0000868278,13195000,7853000,-2108000,-134000,-449000,-2691000,-2738000,-2710000,PRPH
778,2011,0000045919,275517000,205069000,60665000,-17551000,-42178000,782000,75406000,44198000,HHS
782,2011,0001078207,58087000,38648000,4598000,-852000,-32000,3131000,3599000,1420000,NLS
783,2011,0001322439,55890837,69121710,58296117,-157786210,-4556384,-104046477,31668291,-14819749,EGLE
786,2011,0000874238,164023000,69285000,20988000,-42706000,-11352000,-33070000,14766000,-35900000,STRL
790,2011,0001162461,106095000,17020000,-5168000,5287000,1382000,1501000,-10432000,-10061000,CUTR
793,2011,0000902791,128957000,79318000,31355000,-4176000,-8532000,18647000,3934000,14318000,BBSI
796,2011,0001220754,158093398,106886803,31038238,-14615765,-34455563,-18076783,36639165,16940194,MODV
797,2011,0001289340,34236171,40832389,-31569278,-1031749,11307127,-21293900,-31941208,-32031175,STXS
798,2011,0000749647,31508485,6152424,-22742437,-11087088,52836463,19006938,-23018769,-23222678,CLSN
799,2011,0000891532,51775000,40226000,20759000,-12985000,4180000,11954000,11737000,14064000,PESI
802,2011,0000814549,63817000,49779000,71286000,-13320000,-55537000,299000,68748000,71378000,EBIX
803,2011,0000814549,63817000,49779000,71286000,-13320000,-55537000,299000,68748000,71378000,EBIX
804,2011,0000814549,63817000,49779000,71286000,-13320000,-55537000,299000,68748000,71378000,EBIX
805,2011,0000814549,63817000,49779000,71286000,-13320000,-55537000,299000,68748000,71378000,EBIX
806,2011,0000814549,63817000,49779000,71286000,-13320000,-55537000,299000,68748000,71378000,EBIX
807,2011,0000814549,63817000,49779000,71286000,-13320000,-55537000,299000,68748000,71378000,EBIX
808,2011,0000814549,63817000,49779000,71286000,-13320000,-55537000,299000,68748000,71378000,EBIX
809,2011,0000814549,63817000,49779000,71286000,-13320000,-55537000,299000,68748000,71378000,EBIX
813,2011,0001080709,60260000,14360000,-78257000,-672000,-14158000,-93037000,-82799000,-109224000,ARNA
822,2011,0000029332,100999000,34582000,5054000,-6735000,1735000,54000,5668000,986000,DXYN
827,2011,0000822411,6744454,1761289,-6383742,-84392,7801526,1333392,-8625502,-5719903,IMUC
832,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
833,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
834,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
835,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
836,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
837,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
838,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
839,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
840,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
841,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
842,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
843,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
844,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
845,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
846,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
847,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
848,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
849,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
850,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
851,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
852,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
853,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
854,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
855,2011,0000008328,10524447,3948611,-4699735,-270387,13498318,8528196,-7167107,-7482636,AMNL
